bolum_id,gosterge_id,bolum_adi,istihdam_orani,akademik_istihdam_orani,yonetici_pozisyonu_istihdam_orani,girisimcilik_orani,ortalama_calisma_suresi_ay,katma_degerli_girisim_endeksi,nitelik_uygun_is_orani,nitelik_dusuk_uyusmazlik_orani,nitelik_orta_uyusmazlik_orani,nitelik_yuksek_uyusmazlik_orani,firma_mikro_olcekli_orani,firma_kucuk_olcekli_orani,firma_orta_olcekli_orani,firma_buyuk_olcekli_orani,maas_17002_tl_orani,maas_17003_24999_tl_orani,maas_25000_33999_tl_orani,maas_34000_50999_tl_orani,maas_51000_ustu_tl_orani,ise_baslama_mezun_olmadan_once_orani,ise_baslama_0_6_ay_orani,ise_baslama_6_12_ay_orani,ise_baslama_12_ay_ustu_orani,ise_gecis_ilk_1_ay_orani,ise_gecis_1_6_ay_orani,ise_gecis_6_12_ay_orani,ise_gecis_12_ay_ustu_orani,girisim_omru_0_12_ay_orani,girisim_omru_12_36_ay_orani,girisim_omru_36_60_ay_orani,girisim_omru_60_ay_ustu_orani,sektor_insan_saglik_sosyal_hizmet_orani,sektor_finans_sigorta_faaliyet_orani,sektor_egitim_orani,sektor_toptan_perakende_ticaret_motorlu_tasit_onarim_orani,sektor_imalat_orani,sektor_kamu_yonetim_savunma_sosyal_guvenlik_orani,sektor_insaat_orani,sektor_idari_destek_hizmet_orani,sektor_mesleki_bilimsel_teknik_orani,sektor_konaklama_yiyecek_hizmet_orani,sektor_ulasim_depolama_orani,sektor_bilgi_iletisim_orani,sektor_hanehalklari_isveren_faaliyetleri_orani,sektor_su_kanalizasyon_atik_yonetimi_orani,sektor_tarim_orman_baliksilik_orani,sektor_elektrik_gaz_buhar_uretimi_dagitim_orani,sektor_gayrimenkul_orani,sektor_kultur_sanat_eglence_dinlenme_spor_orani,sektor_madencilik_tas_ocakciligi_orani,sektor_diger_hizmet_orani,sektor_uluslararasi_org_temsil_faaliyet_orani
10,2024,Diş Hekimliği,88.0,21.0,0.1,41.6,21.6,50.175,94.6,2.4,1.8,1.2,31.2,23.7,40.4,4.7,10.6,24.6,19.2,40.3,5.3,2.8,49.7,21.1,26.4,17.1,64.9,10.6,7.4,34.9,33.4,17.7,14.0,87.3,3.5,3.4,1.4,1.3,0.7,0.7,0.6,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.0,,,
11,2024,Eczacılık,93.0,5.0,0.7,60.8,34.0,49.48,89.0,3.0,6.2,1.8,24.8,14.8,18.8,41.6,28.9,16.5,29.3,19.0,6.3,33.7,47.8,11.7,6.8,21.7,61.4,10.6,6.3,7.2,20.9,19.7,52.2,2.9,0.4,1.8,88.7,2.4,0.2,0.3,0.5,1.6,0.2,0.4,0.3,0.1,,0.2,0.0,0.0,0.0,0.0,,
12,2024,Ekonometri,76.0,0.8,1.6,8.9,18.2,50.125,16.8,12.2,60.7,10.3,41.3,19.4,15.4,23.9,28.4,35.6,15.1,14.8,6.1,15.0,28.8,15.5,40.7,18.7,50.0,15.7,15.6,51.7,29.7,11.4,7.2,1.8,21.1,4.2,19.4,14.3,0.6,3.0,8.9,9.1,3.8,5.4,4.2,0.0,0.2,0.5,0.6,0.9,0.5,0.1,1.3,0.1
13,2024,Elektrik ve Elektronik Mühendisliği,82.0,2.3,0.9,14.0,18.4,52.116,68.3,8.8,16.5,6.4,31.2,25.4,23.5,19.9,21.1,24.8,15.8,21.6,16.7,25.5,36.7,16.1,21.7,26.1,54.2,11.7,8.0,49.2,29.0,12.1,9.7,0.4,3.2,2.8,6.9,27.6,0.5,13.6,4.1,16.9,0.6,2.2,13.1,0.0,0.2,0.2,5.1,0.2,0.3,0.4,1.7,0.0
14,2024,Endüstri Mühendisliği,80.0,1.6,3.1,11.9,22.8,52.299,54.8,11.5,28.3,5.4,22.3,25.8,26.6,25.3,16.4,24.6,17.2,20.9,20.9,27.1,33.8,16.1,23.0,29.1,50.2,11.5,9.2,49.7,27.0,11.6,11.7,0.6,7.1,1.9,14.7,36.1,0.2,1.7,5.8,10.0,1.1,4.1,13.4,0.0,0.1,0.3,0.6,0.3,0.3,0.1,1.6,0.0
15,2024,Endüstriyel Tasarım,70.0,4.6,1.6,23.1,18.6,51.422,58.6,13.8,21.2,6.4,49.8,22.2,14.1,13.9,25.1,33.2,16.7,15.0,10.0,21.5,31.3,17.3,29.9,19.6,48.3,17.4,14.7,39.4,28.7,16.3,15.6,0.6,2.5,5.5,15.0,33.3,0.3,3.1,5.4,15.2,2.5,1.7,10.7,,0.1,0.3,0.1,0.5,0.9,0.1,2.1,0.1
16,2024,Felsefe,61.0,1.3,1.6,7.9,12.6,49.289,47.3,4.2,38.4,10.1,41.7,26.5,17.2,14.6,31.9,38.6,17.9,9.8,1.8,10.5,35.5,14.2,39.8,9.3,49.5,21.2,20.0,53.7,30.0,10.4,5.9,4.4,1.5,44.8,13.5,7.7,1.8,3.0,6.9,3.5,4.8,2.3,2.2,0.0,0.1,0.4,0.1,0.6,0.5,0.1,1.7,0.1
17,2024,Fen Bilgisi Öğretmenliği,74.0,0.6,0.9,4.4,17.0,49.193,76.3,2.0,16.6,5.1,18.8,18.3,24.9,38.0,15.5,31.1,27.7,24.3,1.4,4.2,38.8,10.2,46.8,6.8,58.1,18.3,16.8,54.2,28.1,10.2,7.5,1.7,0.7,65.4,8.2,5.1,3.3,2.2,5.2,1.9,2.4,1.7,0.9,0.0,0.1,0.4,0.1,0.3,0.3,0.1,,0.0
18,2024,Fizik,73.0,3.7,1.9,14.5,19.5,50.898,54.4,8.1,30.0,7.5,35.0,28.6,20.5,15.9,16.2,38.2,18.0,21.3,6.3,14.7,31.3,15.4,38.6,10.3,50.0,19.9,19.8,44.6,25.9,13.2,16.3,5.3,3.6,32.6,11.1,13.3,1.5,3.6,5.4,7.9,2.3,3.1,5.7,0.0,0.2,0.5,0.5,0.6,0.5,0.1,2.2,0.0
19,2024,Fizik Kimya ve Biyoloji Öğretmenliği,72.0,2.4,1.0,7.4,14.4,49.819,67.7,4.6,21.7,6.0,24.8,32.2,26.7,16.3,26.9,33.0,19.2,18.3,2.6,9.2,43.1,12.7,35.0,8.8,58.8,17.4,15.0,49.2,28.6,13.5,8.7,1.5,0.6,65.0,6.4,7.1,1.9,2.5,5.0,3.4,2.2,1.1,2.0,,0.1,0.3,0.1,0.3,0.2,0.3,,0.0
1,2024,Antropoloji,62.0,1.0,1.7,9.5,13.2,50.059,22.5,6.5,55.1,15.9,50.2,18.1,13.7,18.0,33.8,36.3,13.9,12.2,3.8,14.0,31.5,14.9,39.6,11.6,49.4,20.3,18.7,50.4,30.8,8.5,10.3,3.8,3.1,17.3,20.2,10.6,1.7,5.0,11.7,6.7,6.0,3.8,2.8,0.1,0.2,0.6,0.5,1.3,1.0,0.1,3.1,0.4
